Geneid	Chr	Start	End	Strand	Length	NF54-24h_S6_L001.bam	NF54-24h_S8_L001.bam	PB58-24h-14_S2.bam	PB58-24h_S3_L001.bam
PF3D7_1418600	Pf3D7_14_v3	780006	780124	+	119	0	0	0	0
PF3D7_0819300	Pf3D7_08_v3	874367	877498	+	3132	4	1	6	12
PF3D7_0109400	Pf3D7_01_v3	374439	375087	-	649	219	60	92	118
PF3D7_0920500	Pf3D7_09_v3	841536	842655	+	1120	15	1	26	13
PF3D7_0933500	Pf3D7_09_v3	1325248	1329786	-	4539	44	15	24	24
PF3D7_0908600	Pf3D7_09_v3	399202	400725	-	1524	127	81	85	79
PF3D7_0518100	Pf3D7_05_v3	753298	757544	+	4247	178	132	122	188
PF3D7_1235500	Pf3D7_12_v3	1481002	1482942	+	1941	179	103	74	112
PF3D7_1006600	Pf3D7_10_v3	272243	272824	-	582	154	57	49	100
PF3D7_0504300	Pf3D7_05_v3	169549	170590	-	1042	2	0	1	3
PF3D7_0532600	Pf3D7_05_v3	1318531	1319229	-	699	32	38	0	3
PF3D7_1024400	Pf3D7_10_v3	1023205	1024869	-	1665	5	1	3	9
PF3D7_1472800	Pf3D7_14_v3	2969912	2971792	-	1881	98	15	65	51
PF3D7_1003900	Pf3D7_10_v3	177921	178870	+	950	1	2	3	3
PF3D7_0906500	Pf3D7_09_v3	318311	319546	+	1236	620	577	544	751
PF3D7_1317600	Pf3D7_13_v3	735538	738068	+	2531	120	92	86	109
PF3D7_1438200	Pf3D7_14_v3	1545135	1545239	-	105	0	0	0	0
PF3D7_0407000	Pf3D7_04_v3	360547	361764	-	1218	27	58	49	43
PF3D7_1246400	Pf3D7_12_v3	1931970	1932584	+	615	61	17	49	39
PF3D7_1326500	Pf3D7_13_v3	1099489	1105836	-	6348	19	7	13	16
PF3D7_1020800	Pf3D7_10_v3	840212	843403	+	3192	39	31	48	53
PF3D7_1242000	Pf3D7_12_v3	1787236	1788831	-	1596	10	4	7	9
PF3D7_1336200	Pf3D7_13_v3	1474274	1475661	+	1388	109	33	58	48
PF3D7_0630200	Pf3D7_06_v3	1258880	1259939	+	1060	12	1	2	2
PF3D7_0707200	Pf3D7_07_v3	329936	336325	-	6390	65	8	27	11
PF3D7_0500500	Pf3D7_05_v3	36464	37564	-	1101	3	0	0	0
PF3D7_0728100	Pf3D7_07_v3	1193616	1210301	-	16686	65	11	30	32
PF3D7_0911800	Pf3D7_09_v3	535851	536681	-	831	15	7	24	37
PF3D7_0405200	Pf3D7_04_v3	279072	281983	+	2912	121	30	83	83
PF3D7_0602100	Pf3D7_06_v3	92506	96668	+	4163	418	460	412	470
PF3D7_1347400	Pf3D7_13_v3	1895983	1896402	+	420	31	11	10	22
PF3D7_1475200	Pf3D7_14_v3	3081750	3084635	+	2886	32	8	15	18
PF3D7_1245100	Pf3D7_12_v3	1883469	1887681	+	4213	21	3	15	16
PF3D7_0316800	Pf3D7_03_v3	677842	678474	+	633	2329	1236	1712	1228
PF3D7_1008600	Pf3D7_10_v3	357345	358463	+	1119	2	0	1	0
PF3D7_0216600	Pf3D7_02_v3	686485	688545	+	2061	134	100	121	72
PF3D7_1017500	Pf3D7_10_v3	701746	702422	+	677	30	5	44	8
PF3D7_0918000	Pf3D7_09_v3	742494	743684	-	1191	166	16	153	35
PF3D7_1402900	Pf3D7_14_v3	106370	109234	+	2865	10	5	14	17
PF3D7_0718700	Pf3D7_07_v3	831549	832922	-	1374	29	15	15	29
PF3D7_1253500	Pf3D7_12_v3	2183464	2184168	-	705	0	0	1	0
PF3D7_1130700	Pf3D7_11_v3	1180160	1185616	-	5457	239	59	85	109
PF3D7_1038500	Pf3D7_10_v3	1548455	1549731	-	1277	7	13	3	31
PF3D7_1310300	Pf3D7_13_v3	455792	456535	-	744	27	13	35	36
PF3D7_1150200	Pf3D7_11_v3	2018714	2019967	-	1254	1	5	0	1
PF3D7_0311300	Pf3D7_03_v3	480122	483453	-	3332	146	7	79	36
PF3D7_0502100	Pf3D7_05_v3	102193	102897	-	705	19	12	4	10
PF3D7_1425200	Pf3D7_14_v3	983341	984561	-	1221	23	12	15	15
PF3D7_1024000	Pf3D7_10_v3	1014896	1016596	+	1701	102	57	92	81
PF3D7_1033300	Pf3D7_10_v3	1338124	1338818	-	695	233	125	120	158
PF3D7_1304500	Pf3D7_13_v3	235800	236435	-	636	307	57	126	120
PF3D7_0316200	Pf3D7_03_v3	649849	657247	-	7399	88	12	53	55
PF3D7_1316600	Pf3D7_13_v3	691014	694125	+	3112	548	484	660	786
PF3D7_0704000	Pf3D7_07_v3	167489	177295	-	9807	126	103	88	109
PF3D7_0723300	Pf3D7_07_v3	975766	978408	+	2643	32	5	17	8
PF3D7_0817800	Pf3D7_08_v3	815150	815451	+	302	22	1	17	5
PF3D7_1223800	Pf3D7_12_v3	971268	972194	+	927	51	37	24	30
PF3D7_0903000	Pf3D7_09_v3	129224	129700	+	477	47	25	26	26
PF3D7_0207100	Pf3D7_02_v3	281907	287345	+	5439	192	23	104	80
PF3D7_1425700	Pf3D7_14_v3	1006643	1008069	+	1427	90	93	86	129
PF3D7_1468600	Pf3D7_14_v3	2816100	2822286	+	6187	1	0	1	2
PF3D7_1238200	Pf3D7_12_v3	1586261	1587466	-	1206	1	0	3	1
PF3D7_1402000	Pf3D7_14_v3	77258	80423	-	3166	102	85	83	80
PF3D7_0909700	Pf3D7_09_v3	440914	444024	+	3111	109	127	170	111
PF3D7_1345300	Pf3D7_13_v3	1815075	1815548	-	474	9	0	5	6
PF3D7_1237500	Pf3D7_12_v3	1561534	1566579	-	5046	192	335	185	355
PF3D7_0904600	Pf3D7_09_v3	212515	217983	+	5469	470	488	331	575
PF3D7_0317500	Pf3D7_03_v3	716523	721831	-	5309	169	151	126	243
PF3D7_1002300	Pf3D7_10_v3	117242	118534	+	1293	12	4	15	11
PF3D7_0716800	Pf3D7_07_v3	732070	733496	-	1427	1420	635	1016	785
PF3D7_0702300	Pf3D7_07_v3	96761	98730	+	1970	80	393	326	287
PF3D7_0822500	Pf3D7_08_v3	992655	993965	-	1311	13	8	18	18
PF3D7_1430200	Pf3D7_14_v3	1188349	1191466	+	3118	43	12	59	33
PF3D7_1240200	Pf3D7_12_v3	1688606	1691162	-	2557	3	2	4	2
PF3D7_1222600	Pf3D7_12_v3	907203	914501	+	7299	51	165	96	193
PF3D7_0803800	Pf3D7_08_v3	233467	234426	-	960	682	338	493	445
PF3D7_1438700	Pf3D7_14_v3	1564575	1567839	+	3265	195	14	63	49
PF3D7_1367800	Pf3D7_13_v3	2701228	2704776	+	3549	2	0	3	1
PF3D7_0423400	Pf3D7_04_v3	1055665	1056318	+	654	7	0	7	3
PF3D7_1244300	Pf3D7_12_v3	1857849	1858090	+	242	12	14	41	50
PF3D7_1337100	Pf3D7_13_v3	1495259	1497240	+	1982	138	56	62	65
PF3D7_1355200	Pf3D7_13_v3	2191058	2194111	-	3054	4	9	5	12
PF3D7_1221000	Pf3D7_12_v3	836912	843901	-	6990	217	82	99	106
PF3D7_0312800	Pf3D7_03_v3	534239	535238	+	1000	1591	978	1340	1236
PF3D7_0809000	Pf3D7_08_v3	456051	456185	-	135	1	0	0	0
PF3D7_1477600	Pf3D7_14_v3	3193285	3199478	+	6194	72	71	47	183
PF3D7_0102000	Pf3D7_01_v3	93113	93875	-	763	0	0	0	0
PF3D7_0909800	Pf3D7_09_v3	445788	446329	+	542	158	74	116	72
PF3D7_1352300	Pf3D7_13_v3	2083689	2085530	-	1842	10	7	6	9
PF3D7_0208100	Pf3D7_02_v3	327932	335203	+	7272	197	11	71	63
PF3D7_0710100	Pf3D7_07_v3	460057	461436	+	1380	65	43	33	41
PF3D7_0607900	Pf3D7_06_v3	332343	334934	+	2592	52	11	24	23
PF3D7_1226900	Pf3D7_12_v3	1088536	1090023	-	1488	19	10	37	8
PF3D7_0102400	Pf3D7_01_v3	107197	108348	-	1152	15	2	7	4
PF3D7_1241700	Pf3D7_12_v3	1778154	1779411	+	1258	262	18	96	69
PF3D7_0509800	Pf3D7_05_v3	410268	415308	+	5041	227	98	182	86
PF3D7_1429900	Pf3D7_14_v3	1176770	1181092	+	4323	98	51	63	71
PF3D7_0410800	Pf3D7_04_v3	485832	489728	+	3897	368	244	219	255
PF3D7_0219900	Pf3D7_02_v3	791464	792381	+	918	13	29	58	36
PF3D7_1132300	Pf3D7_11_v3	1253073	1253894	+	822	138	78	88	127
PF3D7_0922600	Pf3D7_09_v3	916603	918674	+	2072	470	361	737	322
PF3D7_0424000	Pf3D7_04_v3	1080959	1082189	+	1231	99	44	88	156
PF3D7_0211300	Pf3D7_02_v3	457130	458585	-	1456	14	2	6	6
PF3D7_1143800	Pf3D7_11_v3	1748439	1751138	+	2700	169	115	137	108
PF3D7_1129600	Pf3D7_11_v3	1144754	1148770	+	4017	20	1	33	22
PF3D7_0206700	Pf3D7_02_v3	271594	273009	+	1416	183	119	117	123
PF3D7_0713000	Pf3D7_07_v3	602141	603381	+	1241	0	3	0	0
PF3D7_0107700	Pf3D7_01_v3	320168	321508	+	1341	10	4	3	6
PF3D7_1250800	Pf3D7_12_v3	2077718	2082887	+	5170	488	199	230	278
PF3D7_0802500	Pf3D7_08_v3	174647	178906	-	4260	111	66	73	72
PF3D7_1466900	Pf3D7_14_v3	2736908	2741325	+	4418	93	192	153	238
PF3D7_1436200	Pf3D7_14_v3	1467629	1474438	-	6810	14	6	13	22
PF3D7_0322600	Pf3D7_03_v3	948374	952693	+	4320	4	3	2	6
malmito_rna_RNA7	Pf_M76611	5202	5283	-	82	4	0	7	0
PF3D7_1218900	Pf3D7_12_v3	740994	743147	-	2154	54	56	60	57
PF3D7_0613200	Pf3D7_06_v3	539304	539674	+	371	8	0	3	5
PF3D7_1348200	Pf3D7_13_v3	1927449	1928260	+	812	23	21	13	30
PF3D7_0518700	Pf3D7_05_v3	774075	780438	-	6364	37	69	36	70
PF3D7_0823100	Pf3D7_08_v3	1018089	1019268	-	1180	134	64	114	81
PF3D7_1114200	Pf3D7_11_v3	542330	544765	-	2436	138	97	145	96
PF3D7_1219200	Pf3D7_12_v3	764448	765151	+	704	10	7	9	2
PF3D7_1467100	Pf3D7_14_v3	2745815	2747320	-	1506	29	37	35	41
PF3D7_0901300	Pf3D7_09_v3	67334	68625	+	1292	3	6	0	0
PF3D7_1039600	Pf3D7_10_v3	1590146	1590973	+	828	0	0	0	0
PF3D7_0407400	Pf3D7_04_v3	367845	368153	-	309	76	32	27	38
PF3D7_0509300	Pf3D7_05_v3	388696	389191	-	496	61	53	52	71
PF3D7_1430700	Pf3D7_14_v3	1211012	1212776	+	1765	95	1	25	16
PF3D7_1206800	Pf3D7_12_v3	308214	310397	+	2184	59	41	65	78
PF3D7_1459200	Pf3D7_14_v3	2427224	2430091	-	2868	72	90	75	82
PF3D7_1420700	Pf3D7_14_v3	860011	863080	+	3070	2647	2714	2767	2727
PF3D7_0522800	Pf3D7_05_v3	944184	944931	-	748	89	73	96	81
PF3D7_1419400	Pf3D7_14_v3	804425	811369	-	6945	202	311	210	362
PF3D7_1435600	Pf3D7_14_v3	1437511	1442877	-	5367	13	5	32	16
PF3D7_1305100	Pf3D7_13_v3	252526	253788	-	1263	42	4	25	21
PF3D7_1403200	Pf3D7_14_v3	120069	121134	-	1066	9	0	11	3
PF3D7_1344800	Pf3D7_13_v3	1796274	1797709	+	1436	626	400	457	531
PF3D7_1017300	Pf3D7_10_v3	694840	696709	-	1870	149	53	67	128
PF3D7_0831000	Pf3D7_08_v3	1321417	1322825	+	1409	39	103	45	76
PF3D7_0820800	Pf3D7_08_v3	936426	938876	-	2451	28	2	29	18
PF3D7_1137500	Pf3D7_11_v3	1473505	1474116	-	612	39	3	19	14
PF3D7_0408000	Pf3D7_04_v3	394065	394580	-	516	7	3	8	0
PF3D7_1028600	Pf3D7_10_v3	1176461	1177849	-	1389	24	6	16	5
PF3D7_0933600	Pf3D7_09_v3	1331349	1332803	-	1455	622	194	183	279
PF3D7_0707420	Pf3D7_07_v3	383172	383519	+	348	0	0	0	0
PF3D7_0423500	Pf3D7_04_v3	1058997	1060551	+	1555	17	6	30	5
PF3D7_0932500	Pf3D7_09_v3	1293832	1296644	-	2813	21	4	7	6
PF3D7_0628200	Pf3D7_06_v3	1159862	1169080	+	9219	1447	972	1218	822
PF3D7_0403500	Pf3D7_04_v3	195543	196745	+	1203	36	40	35	48
PF3D7_0823400	Pf3D7_08_v3	1034417	1036428	+	2012	2	1	7	2
PF3D7_0720600	Pf3D7_07_v3	887816	889378	-	1563	132	57	133	62
PF3D7_0618400	Pf3D7_06_v3	770147	772506	-	2360	4	3	7	9
PF3D7_1301900	Pf3D7_13_v3	109695	110268	-	574	1	1	3	1
PF3D7_1412200	Pf3D7_14_v3	487776	490380	-	2605	46	23	53	79
PF3D7_0711300	Pf3D7_07_v3	499336	499695	+	360	81	57	41	56
PF3D7_1313200	Pf3D7_13_v3	566236	568233	+	1998	1	14	12	23
PF3D7_0825300	Pf3D7_08_v3	1095116	1095562	-	447	9	11	20	17
PF3D7_0609200	Pf3D7_06_v3	392991	394611	+	1621	41	24	23	37
PF3D7_1025400	Pf3D7_10_v3	1061399	1067085	-	5687	22	2	31	13
PF3D7_0314600	Pf3D7_03_v3	586555	587331	+	777	50	68	47	121
PF3D7_1237400	Pf3D7_12_v3	1558909	1560623	+	1715	81	38	58	42
PF3D7_1463800	Pf3D7_14_v3	2583187	2583549	-	363	2	2	4	2
PF3D7_1149400	Pf3D7_11_v3	1985870	1986639	-	770	371	274	135	234
PF3D7_0827000	Pf3D7_08_v3	1167579	1171448	-	3870	801	763	595	851
PF3D7_1140100	Pf3D7_11_v3	1598550	1599632	-	1083	181	100	142	112
PF3D7_0830800	Pf3D7_08_v3	1310637	1316955	+	6319	148	196	128	274
PF3D7_1367400	Pf3D7_13_v3	2687561	2690701	+	3141	207	204	143	294
PF3D7_0215200	Pf3D7_02_v3	626976	627710	+	735	17	15	17	30
PF3D7_1223600	Pf3D7_12_v3	962631	967491	-	4861	11	46	21	45
PF3D7_1468100	Pf3D7_14_v3	2786308	2794323	-	8016	2114	2063	2129	1683
PF3D7_1312800	Pf3D7_13_v3	536702	544523	-	7822	63	5	59	14
PF3D7_1039200	Pf3D7_10_v3	1576441	1576991	-	551	2	0	0	0
PF3D7_1425100	Pf3D7_14_v3	982892	983018	+	127	0	0	0	1
PF3D7_1369000	Pf3D7_13_v3	2742585	2745862	+	3278	32	10	35	12
PF3D7_0515400	Pf3D7_05_v3	637354	640381	+	3028	14	2	4	18
PF3D7_1444200	Pf3D7_14_v3	1826127	1827163	+	1037	0	0	3	2
PF3D7_0412800	Pf3D7_04_v3	573285	573419	+	135	0	0	0	0
PF3D7_0505400	Pf3D7_05_v3	236143	238365	-	2223	39	11	20	30
PF3D7_0533000	Pf3D7_05_v3	1329555	1330808	+	1254	99	276	3	4
PF3D7_0312100	Pf3D7_03_v3	513752	516262	+	2511	37	3	19	17
PF3D7_1136700	Pf3D7_11_v3	1446489	1448505	+	2017	22	3	18	12
PF3D7_0528600	Pf3D7_05_v3	1176969	1177286	-	318	39	19	33	22
PF3D7_1204000	Pf3D7_12_v3	197509	198830	+	1322	0	1	3	0
PF3D7_1423200	Pf3D7_14_v3	933059	935357	+	2299	230	148	167	205
PF3D7_0532000	Pf3D7_05_v3	1292410	1296199	+	3790	11735	2125	15149	3263
PF3D7_0820600	Pf3D7_08_v3	929145	930861	+	1717	16	0	6	1
PF3D7_0724700	Pf3D7_07_v3	1034969	1046109	-	11141	416	434	444	531
PF3D7_1135200	Pf3D7_11_v3	1378290	1379852	-	1563	1	1	4	2
PF3D7_0522300	Pf3D7_05_v3	902613	904844	-	2232	268	155	186	152
PF3D7_1446600	Pf3D7_14_v3	1917232	1918010	-	779	95	7	47	18
PF3D7_0310000	Pf3D7_03_v3	420697	421515	+	819	27	7	9	5
PF3D7_0925500	Pf3D7_09_v3	1025493	1026353	+	861	63	10	34	20
PF3D7_1002100	Pf3D7_10_v3	106653	108662	-	2010	210	347	562	246
PF3D7_1343500	Pf3D7_13_v3	1720319	1721672	+	1354	46	4	32	18
PF3D7_0509400	Pf3D7_05_v3	389914	398997	-	9084	1236	1713	932	1697
PF3D7_1405900	Pf3D7_14_v3	205559	209003	+	3445	312	391	273	461
PF3D7_API05400	Pf3D7_API_v3	27114	27192	+	79	0	0	0	0
PF3D7_0414600	Pf3D7_04_v3	658620	659538	-	919	23	3	16	5
PF3D7_0105200	Pf3D7_01_v3	222254	223960	-	1707	269	129	140	209
PF3D7_0304700	Pf3D7_03_v3	224160	225793	-	1634	6	1	2	1
PF3D7_1228100	Pf3D7_12_v3	1141583	1143194	-	1612	39	3	16	5
PF3D7_0932100	Pf3D7_09_v3	1279219	1283879	-	4661	25	10	31	29
PF3D7_1011700	Pf3D7_10_v3	449154	450323	+	1170	387	335	323	379
PF3D7_0203800	Pf3D7_02_v3	171563	174912	-	3350	43	1	20	12
PF3D7_1007600	Pf3D7_10_v3	299280	299609	+	330	159	68	112	93
PF3D7_1228900	Pf3D7_12_v3	1180670	1185483	-	4814	543	217	351	363
PF3D7_1220200	Pf3D7_12_v3	804963	806698	-	1736	1	0	0	4
PF3D7_0517000	Pf3D7_05_v3	715765	716675	-	911	2387	1437	2049	1634
PF3D7_1339100	Pf3D7_13_v3	1575356	1575427	+	72	0	0	0	0
PF3D7_0524000	Pf3D7_05_v3	998753	1002124	+	3372	4999	2800	3599	3163
PF3D7_0207900	Pf3D7_02_v3	317596	321310	-	3715	9	1	13	4
PF3D7_0301900	Pf3D7_03_v3	105913	107109	-	1197	6	3	6	13
PF3D7_0629600	Pf3D7_06_v3	1218307	1219251	+	945	62	82	63	90
PF3D7_0602300	Pf3D7_06_v3	99781	100725	+	945	2	0	1	2
PF3D7_1312700	Pf3D7_13_v3	532270	533958	-	1689	281	146	129	270
PF3D7_0504400	Pf3D7_05_v3	172150	174417	+	2268	140	18	78	49
PF3D7_1252200	Pf3D7_12_v3	2125435	2126571	+	1137	14	10	25	16
PF3D7_1108000	Pf3D7_11_v3	352556	354262	+	1707	339	255	293	236
PF3D7_0902900	Pf3D7_09_v3	127416	127724	+	309	8	3	11	7
PF3D7_0520700	Pf3D7_05_v3	845843	848767	-	2925	16	48	16	66
PF3D7_1100200	Pf3D7_11_v3	32666	42386	-	9721	15	21	12	4
PF3D7_1406400	Pf3D7_14_v3	230864	232690	+	1827	29	11	21	16
PF3D7_1211900	Pf3D7_12_v3	529005	532799	-	3795	1585	1155	1127	1392
PF3D7_1408100	Pf3D7_14_v3	297468	298823	+	1356	2437	1823	2604	1923
PF3D7_0206100	Pf3D7_02_v3	245358	246699	+	1342	117	53	101	62
PF3D7_0809400	Pf3D7_08_v3	475573	478125	+	2553	94	32	70	103
PF3D7_1467400	Pf3D7_14_v3	2753136	2754020	-	885	45	40	38	62
PF3D7_1253200	Pf3D7_12_v3	2173799	2174322	-	524	7	13	40	44
PF3D7_1106800	Pf3D7_11_v3	283869	289224	+	5356	129	73	80	87
PF3D7_0504800	Pf3D7_05_v3	187813	204732	-	16920	122	15	51	36
PF3D7_0503500	Pf3D7_05_v3	142871	145423	-	2553	32	45	40	57
PF3D7_1210000	Pf3D7_12_v3	452595	453828	+	1234	76	23	49	41
PF3D7_1121000	Pf3D7_11_v3	792197	793945	+	1749	27	8	19	20
PF3D7_1019100	Pf3D7_10_v3	766168	771954	-	5787	10	15	25	12
PF3D7_1004600	Pf3D7_10_v3	215717	219759	+	4043	25	5	39	26
PF3D7_1022500	Pf3D7_10_v3	944398	946089	-	1692	79	23	79	73
PF3D7_1330200	Pf3D7_13_v3	1275104	1275899	+	796	58	18	52	36
PF3D7_0624900	Pf3D7_06_v3	1015868	1018444	+	2577	8	0	8	1
PF3D7_1102900	Pf3D7_11_v3	136661	137442	+	782	5	3	9	9
PF3D7_1344400	Pf3D7_13_v3	1785333	1786805	-	1473	12	41	11	53
PF3D7_1109000	Pf3D7_11_v3	381154	381259	-	106	6	1	2	5
PF3D7_0102700	Pf3D7_01_v3	124517	125484	+	968	18	7	21	13
PF3D7_1033100	Pf3D7_10_v3	1324132	1328436	-	4305	8678	5526	5122	6067
PF3D7_1006700	Pf3D7_10_v3	274091	275426	+	1336	237	193	138	232
PF3D7_1016700	Pf3D7_10_v3	669202	671853	-	2652	143	186	182	246
PF3D7_1349300	Pf3D7_13_v3	1977269	1982692	+	5424	62	43	65	63
PF3D7_1122800	Pf3D7_11_v3	872031	877678	+	5648	105	61	103	63
PF3D7_1135700	Pf3D7_11_v3	1396433	1396764	-	332	59	40	52	40
PF3D7_0400600	Pf3D7_04_v3	61411	61489	+	79	1	0	0	0
PF3D7_0201800	Pf3D7_02_v3	86832	88791	-	1960	1228	1501	2008	1490
PF3D7_0321600	Pf3D7_03_v3	900857	903369	+	2513	311	180	199	301
PF3D7_1130300	Pf3D7_11_v3	1166588	1166687	+	100	4	9	2	7
PF3D7_0604800	Pf3D7_06_v3	206855	211159	-	4305	47	29	19	45
PF3D7_1438300	Pf3D7_14_v3	1546224	1546297	+	74	0	0	0	0
PF3D7_1451800	Pf3D7_14_v3	2123461	2126599	+	3139	695	386	346	394
PF3D7_0933700	Pf3D7_09_v3	1334115	1334794	-	680	13	1	9	1
PF3D7_1473400	Pf3D7_14_v3	2989577	2992222	+	2646	6	2	16	14
PF3D7_1358200	Pf3D7_13_v3	2309035	2314125	+	5091	132	179	130	204
PF3D7_0727500	Pf3D7_07_v3	1164455	1166578	-	2124	14	11	23	14
PF3D7_1214600	Pf3D7_12_v3	613561	614574	-	1014	69	26	44	32
PF3D7_0706000	Pf3D7_07_v3	293400	297089	+	3690	576	657	706	797
PF3D7_0506200	Pf3D7_05_v3	259764	260747	+	984	29	27	22	19
PF3D7_0402400	Pf3D7_04_v3	147490	148380	-	891	1119	824	561	1002
PF3D7_0215600	Pf3D7_02_v3	643106	644317	-	1212	115	92	106	103
PF3D7_1223300	Pf3D7_12_v3	934971	938639	-	3669	130	149	123	267
PF3D7_API03800	Pf3D7_API_v3	13005	13244	+	240	0	0	0	0
PF3D7_1345400	Pf3D7_13_v3	1816344	1821300	-	4957	210	26	101	49
PF3D7_0903800	Pf3D7_09_v3	179187	183991	+	4805	7	2	14	11
PF3D7_0927700	Pf3D7_09_v3	1126990	1127928	-	939	59	22	104	60
PF3D7_1217800	Pf3D7_12_v3	698771	699013	-	243	35	20	10	33
PF3D7_1217600	Pf3D7_12_v3	695559	696455	+	897	1	3	8	6
PF3D7_0824300	Pf3D7_08_v3	1059246	1061567	-	2322	30	4	16	23
PF3D7_1369100	Pf3D7_13_v3	2746659	2748224	-	1566	44	20	21	69
PF3D7_0324600	Pf3D7_03_v3	1021998	1023008	+	1011	7	1	0	4
PF3D7_0912000	Pf3D7_09_v3	541033	545739	-	4707	163	132	150	233
PF3D7_0902600	Pf3D7_09_v3	113409	115549	-	2141	125	84	97	81
PF3D7_0703400	Pf3D7_07_v3	129370	131832	-	2463	36	40	105	110
PF3D7_1237300	Pf3D7_12_v3	1556299	1557617	-	1319	1	1	1	0
PF3D7_1130310	Pf3D7_11_v3	1166812	1166914	+	103	4	4	2	8
PF3D7_1409300	Pf3D7_14_v3	363092	364240	+	1149	36	22	46	32
PF3D7_1402400	Pf3D7_14_v3	89565	91037	-	1473	37	67	54	50
PF3D7_1230700	Pf3D7_12_v3	1259620	1262088	+	2469	964	698	549	578
PF3D7_1037900	Pf3D7_10_v3	1502955	1504322	-	1368	13	16	14	30
PF3D7_0826000	Pf3D7_08_v3	1109276	1112794	+	3519	56	31	51	86
PF3D7_1234700	Pf3D7_12_v3	1446375	1450335	-	3961	30	11	35	42
PF3D7_1319000	Pf3D7_13_v3	784110	786992	+	2883	21	9	12	20
PF3D7_1315400	Pf3D7_13_v3	647986	650511	-	2526	1117	725	786	879
PF3D7_1141200	Pf3D7_11_v3	1657507	1657978	-	472	28	7	10	14
PF3D7_1432000	Pf3D7_14_v3	1257643	1258971	-	1329	47	26	23	36
PF3D7_1245300	Pf3D7_12_v3	1893069	1893903	+	835	47	2	21	19
PF3D7_1320300	Pf3D7_13_v3	838848	840965	-	2118	47	27	35	64
PF3D7_1358500	Pf3D7_13_v3	2318686	2320527	+	1842	209	187	192	257
PF3D7_1023900	Pf3D7_10_v3	997475	1007461	-	9987	6558	4976	3710	5335
PF3D7_0612200	Pf3D7_06_v3	512972	519548	-	6577	40	9	30	35
PF3D7_1038800	Pf3D7_10_v3	1557816	1560696	+	2881	98	172	190	164
PF3D7_1235800	Pf3D7_12_v3	1489319	1497065	-	7747	7	3	14	10
PF3D7_0625300	Pf3D7_06_v3	1026823	1031157	-	4335	84	27	49	65
PF3D7_1320600	Pf3D7_13_v3	847090	848383	+	1294	341	178	280	150
PF3D7_0505900	Pf3D7_05_v3	254473	255517	-	1045	215	66	98	100
PF3D7_0221700	Pf3D7_02_v3	869508	871124	-	1617	68	160	92	166
PF3D7_0831700	Pf3D7_08_v3	1365467	1367506	-	2040	11586	8981	14697	7570
PF3D7_0311500	Pf3D7_03_v3	497118	497363	-	246	74	57	64	55
PF3D7_0515300	Pf3D7_05_v3	628981	635382	+	6402	231	71	142	117
PF3D7_1343700	Pf3D7_13_v3	1724817	1726997	-	2181	281	235	1617	765
PF3D7_1238500	Pf3D7_12_v3	1594826	1600526	+	5701	435	309	255	515
PF3D7_0827100	Pf3D7_08_v3	1172394	1176587	+	4194	146	130	75	180
PF3D7_1465500	Pf3D7_14_v3	2650755	2655140	+	4386	0	1	9	12
PF3D7_0319200	Pf3D7_03_v3	803592	806312	-	2721	155	174	163	191
PF3D7_0217900	Pf3D7_02_v3	735438	736997	-	1560	185	17	101	64
PF3D7_1330600	Pf3D7_13_v3	1287891	1289408	-	1518	146	17	41	34
PF3D7_1334300	Pf3D7_13_v3	1400897	1402276	-	1380	359	142	156	280
PF3D7_0808600	Pf3D7_08_v3	431165	439051	+	7887	9	6	5	3
PF3D7_1124200	Pf3D7_11_v3	957514	959199	-	1686	54	44	41	72
PF3D7_1200900	Pf3D7_12_v3	73229	74522	-	1294	100	331	139	266
PF3D7_0731500	Pf3D7_07_v3	1358055	1362929	+	4875	79	34	108	75
PF3D7_0612600	Pf3D7_06_v3	523657	525105	-	1449	127	40	72	67
PF3D7_0531900	Pf3D7_05_v3	1292211	1292409	+	199	6	1	7	6
PF3D7_0410300	Pf3D7_04_v3	470528	473596	-	3069	195	141	116	137
PF3D7_1404700	Pf3D7_14_v3	161227	162099	-	873	2	2	24	5
PF3D7_1013100	Pf3D7_10_v3	502634	506392	-	3759	332	375	303	476
PF3D7_0905500	Pf3D7_09_v3	278369	279088	+	720	3	1	15	5
PF3D7_1411400	Pf3D7_14_v3	461401	467451	-	6051	60	11	40	24
PF3D7_1479400	Pf3D7_14_v3	3266136	3267377	+	1242	1	1	0	1
PF3D7_1125400	Pf3D7_11_v3	997923	999547	-	1625	665	380	401	499
PF3D7_0822000	Pf3D7_08_v3	978798	980634	+	1837	102	10	50	41
PF3D7_0308800	Pf3D7_03_v3	378045	378517	+	473	36	4	10	7
PF3D7_0608700	Pf3D7_06_v3	358391	360203	+	1813	1992	1014	1236	1242
PF3D7_1407700	Pf3D7_14_v3	279176	280673	+	1498	6	8	20	6
PF3D7_0613800	Pf3D7_06_v3	566139	578993	+	12855	65	18	44	35
PF3D7_0204300	Pf3D7_02_v3	194826	196916	-	2091	291	261	294	406
PF3D7_1249100	Pf3D7_12_v3	2008194	2009708	+	1515	484	282	333	343
PF3D7_1444600	Pf3D7_14_v3	1841029	1841592	+	564	0	0	2	5
PF3D7_1145100	Pf3D7_11_v3	1783357	1786563	-	3207	154	188	282	111
PF3D7_0611700	Pf3D7_06_v3	488579	489287	-	709	615	375	418	424
